Artwork Title,Image Path,Associated Religion,Reasoning for Religious Attribution
Saint Dominic,images/img_15.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Nursing Madonna,images/img_16.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Saint John the Baptist,images/img_17.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Christ of the Mercy,images/img_18.jpg,Christianity,"Direct reference to Jesus Christ and scenes from his Passion (Gethsemane/Ölberg, capture, crucifixion, Calvary) are fundamental subjects in Christian religious art, depicting key events from the Gospels."
Death and Assumption of the Virgin Mary,images/img_19.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Entry to the Paradise and vision of the Crucified,images/img_20.jpg,Christianity,"Direct reference to Jesus Christ and scenes from his Passion (Gethsemane/Ölberg, capture, crucifixion, Calvary) are fundamental subjects in Christian religious art, depicting key events from the Gospels."
ascension,images/img_21.jpg,Christianity,"The Ascension refers to Christ's ascent to heaven 40 days after his resurrection, a fundamental event in Christian theology described in the New Testament and commemorated in the liturgical calendar."
altarpiece of Sainte Engratia,images/img_22.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Sainte Engratia,images/img_23.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
The Arrest of Santa Engracia,images/img_24.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Imprisonment of Sainte Engratia,images/img_25.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
predella from altarpiece of Sainte Engratia,images/img_26.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Calvary from altarpiece of Sainte Engratia from altarpiece of Sainte Engratia,images/img_27.jpg,Christianity,"Direct reference to Jesus Christ and scenes from his Passion (Gethsemane/Ölberg, capture, crucifixion, Calvary) are fundamental subjects in Christian religious art, depicting key events from the Gospels."
Altarpiece of Santo Domingo de Silos,images/img_28.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Altarpiece of Santo Domingo de Silos,images/img_29.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Death of Santo Domingo de Silos,images/img_30.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Death of Santo Domingo de Silos,images/img_31.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Altarpiece of Mare de Déu de la Misericordia by Bartolomé Bermejo,images/img_32.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Altarpiece of Mare de Déu de la Misericordia by Bartolomé Bermejo,images/img_33.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Q61962938,images/img_34.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61962938,images/img_35.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61963030,images/img_36.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61963030,images/img_37.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61963077,images/img_38.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61963077,images/img_39.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61963086,images/img_40.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61963086,images/img_41.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Saint Damian,images/img_42.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Saint Damian,images/img_43.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Descent from the Cross,images/img_44.jpg,Christianity,"The Descent from the Cross (Deposition) depicts the removal of Christ's body from the cross after crucifixion, a scene from the Passion narrative central to Christian theology and art."
Descent from the Cross,images/img_45.jpg,Christianity,"The Descent from the Cross (Deposition) depicts the removal of Christ's body from the cross after crucifixion, a scene from the Passion narrative central to Christian theology and art."
The Adoration of the Magi,images/img_46.jpg,Christianity,"The Adoration of the Magi depicts the visit of the Three Wise Men to the infant Jesus, a scene from the Gospel of Matthew. This is a classic subject in Christian nativity art."
The Adoration of the Magi,images/img_47.jpg,Christianity,"The Adoration of the Magi depicts the visit of the Three Wise Men to the infant Jesus, a scene from the Gospel of Matthew. This is a classic subject in Christian nativity art."
Q61965321,images/img_48.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Q61965321,images/img_49.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Triptych of the Virgin of Montserrat,images/img_50.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Triptych of the Virgin of Montserrat,images/img_51.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Triptych of the Virgin of Montserrat,images/img_52.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Triptych of the Virgin of Montserrat,images/img_53.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Madonna with grapes,images/img_56.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Q66287947,images/img_57.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
Our Lady of Piasek,images/img_59.jpg,Christianity (Catholic/Orthodox),"The depiction of the Virgin Mary (Madonna, Muttergottes, Mare de Déu, Our Lady) is a central iconographic theme in Catholic and Orthodox Christian art. The veneration of Mary as the Mother of God is particularly emphasized in these traditions."
Saint John the Baptist by Ercole de' Roberti,images/img_60.jpg,Christianity (Catholic/Orthodox),The veneration and depiction of saints is characteristic of Catholic and Orthodox Christian traditions. Saints depicted include canonized holy figures recognized by the Church for their exemplary Christian lives and martyrdom.
Q113636993,images/img_63.jpg,Christianity (likely Catholic),"Based on the context of the collection and the prevalence of Catholic religious art in European traditions, these works (identified by Wikidata Q-numbers) are likely Christian religious artworks, most probably from the Catholic tradition given the altarpiece and saint-focused nature of the surrounding pieces."
